name	tier	source	status	available_locally	path	description
qualitative-mixed-methods	maintained	research-workflow-kit	current	yes	skills/research-workflow-kit/qualitative-mixed-methods/SKILL.md	质性与混合方法研究的人工在环流程。用于访谈、焦点小组、观察、文本/档案材料、编码、主题分析、负例、反身性、饱和度判断与定量-定性整合；要求授权、去标识化、审计轨迹和研究者解释责任。
rustdesk	maintained	rustdesk	current	yes	tools/rustdesk/SKILL.md	Install, verify, and operate the repository-pinned RustDesk native remote-desktop client with explicit authorization and security boundaries. Use for RustDesk source/package setup, native runtime checks, or approved remote-support procedures. Never use it for covert, unauthorized, or persistent access.
attack-path-analysis	official-source	openai-plugins	current	requires-submodule-init	full-sources/official/openai-plugins/plugins/codex-security/skills/attack-path-analysis/SKILL.md	Use when Codex is already in the attack-path-analysis phase of a security scan or the user explicitly asks to trace a security finding from source to sink and calibrate severity. Do not use as the primary trigger for full PR, commit, branch, patch, or repository scans.
azure-compliance	official-source	microsoft-skills	current	requires-submodule-init	full-sources/official/microsoft-skills/.github/plugins/azure-skills/skills/azure-compliance/SKILL.md	Run Azure compliance and security audits with azqr plus Key Vault expiration checks. Covers best-practice assessment, resource review, policy/compliance validation, and security posture checks. WHEN: compliance scan, security audit, BEFORE running azqr (compliance cli tool), Azure best practices, Key Vault expiration check, expired certificates, expiring secrets, orphaned resources, compliance assessment.
azure-kusto-irql	official-source	microsoft-skills	current	requires-submodule-init	full-sources/official/microsoft-skills/.github/plugins/azure-kusto-graph-skills/skills/azure-kusto-irql/SKILL.md	Compose IRQL (Incident Response Query Language) queries for Kusto cybersecurity investigations. Translates natural language hunting questions into composable IRQL pipelines using Get_*, Extract_*, and Enrich_* functions. WHEN: IRQL query, security hunt, threat hunting KQL, incident response query, compose hunting pipeline, failed logins, phishing investigation, lateral movement, process execution, file creation events.
deep-security-scan	official-source	openai-plugins	current	requires-submodule-init	full-sources/official/openai-plugins/plugins/codex-security/skills/deep-security-scan/SKILL.md	Use when the user asks for a deep, exhaustive, multi-pass, or variance-reducing repository-wide or scoped-path Codex Security scan. Run repeated independent discovery passes over one resolved scope with worker-specific threat models, semantically merge candidates, synthesize one canonical validation threat model, then run validation, attack-path analysis, canonical JSON completion, and generated reporting once. Do not use for PRs, commits, branch diffs, or working-tree diffs.
evaluate-plugin	official-source	openai-plugins	current	requires-submodule-init	full-sources/official/openai-plugins/plugins/plugin-eval/skills/evaluate-plugin/SKILL.md	"Evaluate a local Codex plugin in engineer-friendly language. Use when the user says ""evaluate this plugin"", ""audit this plugin"", ""why did this score that way"", ""what should I fix first"", ""help me benchmark this plugin"", or asks for a plugin-wide report before comparing versions."
evaluate-skill	official-source	openai-plugins	current	requires-submodule-init	full-sources/official/openai-plugins/plugins/plugin-eval/skills/evaluate-skill/SKILL.md	"Evaluate a local Codex skill in engineer-friendly terms. Use when the user says ""evaluate this skill"", ""give me an analysis of the game dev skill"", ""audit this skill"", ""why did this score that way"", ""what should I fix first"", or asks for a skill-specific report before benchmarking it."
finding-discovery	official-source	openai-plugins	current	requires-submodule-init	full-sources/official/openai-plugins/plugins/codex-security/skills/finding-discovery/SKILL.md	Use when Codex is already in the finding-discovery phase of a security scan or the user explicitly asks to discover candidate security findings in a repository or code change. Do not use as the primary trigger for full PR, commit, branch, patch, or repository scans.
fix-finding	official-source	openai-plugins	current	requires-submodule-init	full-sources/official/openai-plugins/plugins/codex-security/skills/fix-finding/SKILL.md	Use when the user explicitly asks to fix and verify a validated or plausible security finding. Do not use as the primary trigger for full PR, commit, branch, patch, or repository scans.
security-scan	official-source	openai-plugins	current	requires-submodule-init	full-sources/official/openai-plugins/plugins/codex-security/skills/security-scan/SKILL.md	Use for a standard, single-pass security audit of an entire repository or a scoped path, package folder, or submodule with no diff to review. This is the default repository scan. Do not use for PR/commit/branch/working-tree diffs, or for deep, multi-pass, or variance-reducing scans.
security-threat-model	official-source	openai-skills	upstream-deprecated	requires-submodule-init	full-sources/official/openai-skills/skills/.curated/security-threat-model/SKILL.md	Repository-grounded threat modeling that enumerates trust boundaries, assets, attacker capabilities, abuse paths, and mitigations, and writes a concise Markdown threat model. Trigger only when the user explicitly asks to threat model a codebase or path, enumerate threats/abuse paths, or perform AppSec threat modeling. Do not trigger for general architecture summaries, code review, or non-security design work.
