source_id,note_id,url,title,published_at,format,status,body_coverage,image_text_coverage,audio_coverage,video_text_coverage,author_comment_coverage,last_checked,notes
ZS-0001,N240,https://www.xiaohongshu.com/explore/N240,Nature教的ai辅助科研小技巧,2026-08-14,video,partial,quarantined,quarantined,quarantined,quarantined,unavailable,2026-08-16,included_provisional; quarantined_due_later_missing-data_audit; export locator and URL are not independently verified
ZS-0002,N241,https://www.xiaohongshu.com/explore/N241,科研人哪些skill更好用,2026-08-13,video,partial,quarantined,quarantined,quarantined,quarantined,unavailable,2026-08-16,included_provisional; quarantined_due_later_missing-data_audit; export locator and URL are not independently verified
ZS-0003,N242,https://www.xiaohongshu.com/explore/N242,跟ai聊了三个多小时，看到了我的局限和可能,2026-08-13,video,partial,quarantined,quarantined,quarantined,quarantined,unavailable,2026-08-16,included_provisional; quarantined_due_later_missing-data_audit; export locator and URL are not independently verified
ZS-0004,N243,https://www.xiaohongshu.com/explore/N243,系统训练以后，发文章是顺其自然的事情,2026-08-12,video,partial,quarantined,quarantined,quarantined,quarantined,unavailable,2026-08-16,included_provisional; quarantined_due_later_missing-data_audit; export locator and URL are not independently verified
ZS-0005,N244,https://www.xiaohongshu.com/explore/N244,阶级固化，没资源的家庭只能提升学历,2026-08-11,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0006,N245,https://www.xiaohongshu.com/explore/N245,被系统化学术训练过，做科研很容易,2026-08-10,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0007,N246,https://www.xiaohongshu.com/explore/N246,你知道怎么用ai吗？可以编辑科研图片那种,2026-08-09,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0008,N247,https://www.xiaohongshu.com/explore/N247,ai是给底层科研工作者设计的,2026-08-08,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0009,N248,https://www.xiaohongshu.com/explore/N248,学校不教导师不会，ai能力得靠自己提升,2026-08-06,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,partial,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0010,N249,https://www.xiaohongshu.com/explore/N249,人情世故是科研能力的一部分,2026-08-06,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0011,N250,https://www.xiaohongshu.com/explore/N250,ai智能体，薅羊毛学英语,2026-08-03,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0012,N251,https://www.xiaohongshu.com/explore/N251,怎么写文献综述，可以发表的那种,2026-08-02,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0013,N252,https://www.xiaohongshu.com/explore/N252,对于毕业而言，人情世故比科研能力更重要,2026-08-01,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0014,N253,https://www.xiaohongshu.com/explore/N253,成功和抵达是一场幻觉,2026-07-30,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0015,N254,https://www.xiaohongshu.com/explore/N254,硕博脱单集中营，进来谈恋爱,2026-07-28,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0016,N255,https://www.xiaohongshu.com/explore/N255,只选合适的。甲之蜜糖乙之砒霜,2026-07-27,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0017,N256,https://www.xiaohongshu.com/explore/N256,科研圈的人为什么都不爱休息,2026-07-26,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0018,N257,https://www.xiaohongshu.com/explore/N257,博士们都不愿意将就的找份工作,2026-07-23,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0019,N258,https://www.xiaohongshu.com/explore/N258,你不是去上学了，要学会保护好自己的边界,2026-07-22,video,partial,condensed_summary_only,not_retained_in_intake,not_retained_in_intake,not_retained_in_intake,unavailable,2026-08-16,included_provisional; condensed_claims_only_in_received_export; export locator and URL are not independently verified
ZS-0020,N259,https://www.xiaohongshu.com/explore/N259,现在查文献不要只会用CNKI啦,2026-07-20,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0021,N260,https://www.xiaohongshu.com/explore/N260,读博是我的遮羞布，盖住优绩主义下的溃败,2026-07-18,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0022,N261,https://www.xiaohongshu.com/explore/N261,换句话说 你敢不读吗？,2026-07-14,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0023,N262,https://www.xiaohongshu.com/explore/N262,文本一键去ai味儿～怎么安装怎么用？一键解答,2026-07-13,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0024,N263,https://www.xiaohongshu.com/explore/N263,试到一个真的可以帮你选题的ai工具。,2026-07-10,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
